Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
1,The World Assembly,Bookkeeping,Sweeping,Maxtopia,,11609,2259,2008-04-06
2,Rights And Duties Of WA States,Political Stability,Mild,Frisbeeteria,,7501,2511,2008-04-11
3,The Right To A Fair Trial,Human Rights,Strong,South Oceana,,6062,4477,2008-04-16
4,Restrictions On Child Labor,Human Rights,Strong,The Dourian Embassy,,7785,2455,2008-04-23
5,Coordinating Relief Aid,Social Justice,Mild,Charlotte Ryberg,Mikitivity,7923,2584,2008-05-01
6,Humanitarian Transport,Human Rights,Mild,Mikitivity,,6757,3243,2008-05-07
7,Workplace Safety Standards Act,Human Rights,Significant,The Dourian Embassy,Yelda,7675,2513,2008-05-12
8,World Assembly Headquarters,Political Stability,Mild,Omigodtheykilledkenny,,4918,4499,2008-05-17
9,Prevention Of Torture,Human Rights,Strong,Quintessence Of Dust,,6502,4000,2008-05-22
10,Nuclear Arms Possession Act,International Security,Mild,Flibbleites,,6313,4663,2008-06-06
11,"Repeal: ""The Right To A Fair Trial""",Repeal,3,The Dourian Embassy,,7187,3135,2008-06-12
12,Prevention Of Terrorism,International Security,Significant,Atrigea,,5660,3853,2008-06-17
13,Fair Criminal Trial,Human Rights,Significant,The Narnian Council,,6237,2027,2008-06-22
14,Neutrality Of Nations,Global Disarmament,Strong,Charlotte Ryberg,Wolfish,4910,2509,2008-07-30
15,Freedom Of Marriage Act,Human Rights,Significant,Mendosia,,5506,4393,2008-09-03
16,Sexual Privacy Act,Human Rights,Significant,Mendosia,,5963,3138,2008-09-18
17,WA General Fund,Furtherment of Democracy,Mild,Omigodtheykilledkenny,,5258,3273,2008-09-23
18,The Prisoners Of War Accord,Human Rights,Mild,Cobdenia,,5561,2500,2008-09-28
19,Child Protection Act,Human Rights,Significant,Rutianas,,6426,1946,2008-10-03
20,Suppress International Piracy,International Security,Significant,Mavenu,St Edmund,5251,3392,2008-10-08
21,Living Wage Act,Social Justice,Significant,Gobbannaen WA Mission,,4431,3305,2008-10-13
22,Diplomat Protection Act,Furtherment of Democracy,Significant,Forensatha,Cobdenia,5236,2226,2008-10-18
23,Ban On Slavery And Trafficking,Human Rights,Strong,Quintessence Of Dust,Yelda,5944,1319,2008-10-27
24,"Repeal: ""Prevention Of Terrorism""",Repeal,9,Wachichi,,5516,1146,2008-11-15
25,WA Counterterrorism Act,International Security,Significant,The Altan Steppes,Wachichi,3451,1247,2008-11-30
26,World Assembly Economic Union,Free Trade,Strong,New Leicestershire,,2841,1622,2008-12-07
27,Freedom Of Assembly,Furtherment of Democracy,Strong,Cookesland,,3636,1487,2008-12-15
28,"Repeal: ""Fair Criminal Trial""",Repeal,13,Gobbannaen WA Mission,,2780,1577,2008-12-22
29,Patient's Rights Act,Human Rights,Significant,New Leicestershire,,3228,797,2008-12-27
30,Freedom Of Expression,Furtherment of Democracy,Mild,Omigodtheykilledkenny,,3225,992,2009-01-01
31,World Health Authority,Social Justice,Significant,Belarum,,3284,838,2009-01-06
32,Veterans Reform Act,Social Justice,Strong,Studly Penguins,,2423,2165,2009-01-22
33,"Repeal: ""Coordinating Relief Aid""",Repeal,5,Pantherai,,2582,1429,2009-01-27
34,International Transport Safety,Free Trade,Mild,Cobdenia,,2839,1070,2009-02-01
35,The Charter Of Civil Rights,Human Rights,Significant,Urgench,,3076,1513,2009-02-06
36,"Repeal: ""Veterans Reform Act""",Repeal,32,Zarquon Froods,,3122,892,2009-02-11
37,Fairness In Criminal Trials,Human Rights,Significant,Gobbannium,,2905,1058,2009-02-24
38,Convention Against Genocide,Human Rights,Significant,Kelssek,,3219,965,2009-03-01
39,The Right To A Lawful Divorce,Human Rights,Significant,Sionis Prioratus,,2833,1807,2009-03-07
40,The Landmine Convention,Global Disarmament,Significant,Quintessence Of Dust,,2766,1405,2009-03-19
41,Access To Life-Saving Drugs,Social Justice,Significant,Sionis Prioratus,,3269,1183,2009-04-07
42,WA Environmental Council,Environmental,All Businesses,Parilisa,,2832,1390,2009-04-12
43,WA Labor Relations Act,Human Rights,Significant,Hiriaurtung Arororugul,,2682,1661,2009-04-17
44,Reduction Of Abortion Act,Social Justice,Mild,The Cat-Tribe,,3166,1516,2009-04-22
45,"Repeal: ""World Assembly Economic Union""",Repeal,26,Southeastern Evropa,,2963,1204,2009-04-28
46,Right Of Emigration,Human Rights,Mild,Charlotte Ryberg,,3011,1673,2009-05-05
47,Law Of The Sea,Political Stability,Mild,Cobdenia,,3348,1065,2009-05-12
48,Access To Science In Schools,Education and Creativity,Educational,Sionis Prioratus,,3023,1661,2009-05-26
49,Stem Cells For Greater Health,Social Justice,Significant,Studly Penguins,,3528,1523,2009-05-31
50,International Salvage Laws,Social Justice,Mild,Sydia,,3282,1345,2009-06-05
51,Humanitarian Aid Coordination,Social Justice,Significant,Charlotte Ryberg,,3020,1036,2009-06-29
52,Food Welfare Act,Social Justice,Strong,Glen-Rhodes,,1855,578,2009-07-08
53,Epidemic Response Act,International Security,Strong,Goddess Relief Office,,3735,1301,2009-07-16
54,Dignified End Of Life Choices,Human Rights,Strong,Studly Penguins,Robert Hawkins,3235,1678,2009-07-24
55,"Repeal: ""Right Of Emigration""",Repeal,46,Sionis Prioratus,,3669,1091,2009-08-01
56,Numismatics Appreciation Act,Education and Creativity,Cultural Heritage,Buffett And Colbert,,3095,1942,2009-08-13
57,Refugee Protection,Human Rights,Significant,Kelssek,,4137,1254,2009-08-17
